,cname,ccode,icode,year,gdp
5110,Djibouti,DJI,NY.GDP.MKTP.KD.ZG,1979,
5111,Dominica,DMA,NY.GDP.MKTP.KD.ZG,1979,-18.3592854898125
5112,Denmark,DNK,NY.GDP.MKTP.KD.ZG,1979,3.86911148264211
5113,Dominican Republic,DOM,NY.GDP.MKTP.KD.ZG,1979,4.53139921679178
5114,Algeria,DZA,NY.GDP.MKTP.KD.ZG,1979,7.47782655144782
5115,East Asia & Pacific (excluding high income),EAP,NY.GDP.MKTP.KD.ZG,1979,7.00303724960381
5116,Early-demographic dividend,EAR,NY.GDP.MKTP.KD.ZG,1979,4.23292619716673
5117,East Asia & Pacific,EAS,NY.GDP.MKTP.KD.ZG,1979,5.89627188874613
5118,Europe & Central Asia (excluding high income),ECA,NY.GDP.MKTP.KD.ZG,1979,
5119,Europe & Central Asia,ECS,NY.GDP.MKTP.KD.ZG,1979,3.70093821975368
5120,Ecuador,ECU,NY.GDP.MKTP.KD.ZG,1979,3.73404840122309
5121,"Egypt, Arab Rep.",EGY,NY.GDP.MKTP.KD.ZG,1979,4.54768962845593
5122,Euro area,EMU,NY.GDP.MKTP.KD.ZG,1979,3.87348458262589
5123,Eritrea,ERI,NY.GDP.MKTP.KD.ZG,1979,
5124,Spain,ESP,NY.GDP.MKTP.KD.ZG,1979,0.0415465146293599
5125,Estonia,EST,NY.GDP.MKTP.KD.ZG,1979,
5126,Ethiopia,ETH,NY.GDP.MKTP.KD.ZG,1979,-1.10076369430246
5127,European Union,EUU,NY.GDP.MKTP.KD.ZG,1979,3.8577376850276
5128,Fragile and conflict affected situations,FCS,NY.GDP.MKTP.KD.ZG,1979,6.32920750374208
5129,Finland,FIN,NY.GDP.MKTP.KD.ZG,1979,7.12192637149123
5130,Fiji,FJI,NY.GDP.MKTP.KD.ZG,1979,12.2248197696705
5131,France,FRA,NY.GDP.MKTP.KD.ZG,1979,3.54998915669242
5132,Faroe Islands,FRO,NY.GDP.MKTP.KD.ZG,1979,
5133,"Micronesia, Fed. Sts.",FSM,NY.GDP.MKTP.KD.ZG,1979,2.11922416628755
5134,Gabon,GAB,NY.GDP.MKTP.KD.ZG,1979,0.474405279722845
5135,United Kingdom,GBR,NY.GDP.MKTP.KD.ZG,1979,3.74901659373039
5136,Georgia,GEO,NY.GDP.MKTP.KD.ZG,1979,7.37064063684609
5137,Ghana,GHA,NY.GDP.MKTP.KD.ZG,1979,-2.51494141959301
5138,Gibraltar,GIB,NY.GDP.MKTP.KD.ZG,1979,
5139,Guinea,GIN,NY.GDP.MKTP.KD.ZG,1979,-1.20786074441661
5140,"Gambia, The",GMB,NY.GDP.MKTP.KD.ZG,1979,-1.32818316164975
5141,Guinea-Bissau,GNB,NY.GDP.MKTP.KD.ZG,1979,1.99414436253616
5142,Equatorial Guinea,GNQ,NY.GDP.MKTP.KD.ZG,1979,
5143,Greece,GRC,NY.GDP.MKTP.KD.ZG,1979,3.28208026683161
5144,Grenada,GRD,NY.GDP.MKTP.KD.ZG,1979,5.60208352952777
5145,Greenland,GRL,NY.GDP.MKTP.KD.ZG,1979,4.86059745965801
5146,Guatemala,GTM,NY.GDP.MKTP.KD.ZG,1979,4.71345609171885
5147,Guam,GUM,NY.GDP.MKTP.KD.ZG,1979,
5148,Guyana,GUY,NY.GDP.MKTP.KD.ZG,1979,-1.83569626054445
5149,High income,HIC,NY.GDP.MKTP.KD.ZG,1979,4.1011743273237
5150,"Hong Kong SAR, China",HKG,NY.GDP.MKTP.KD.ZG,1979,11.5567538228136
5151,Honduras,HND,NY.GDP.MKTP.KD.ZG,1979,5.60992669232493
5152,Heavily indebted poor countries (HIPC),HPC,NY.GDP.MKTP.KD.ZG,1979,0.600621572975285
5153,Croatia,HRV,NY.GDP.MKTP.KD.ZG,1979,
5154,Haiti,HTI,NY.GDP.MKTP.KD.ZG,1979,7.5604214016743
5155,Hungary,HUN,NY.GDP.MKTP.KD.ZG,1979,2.70000000000013
5156,IBRD only,IBD,NY.GDP.MKTP.KD.ZG,1979,4.81820250258313
5157,IDA & IBRD total,IBT,NY.GDP.MKTP.KD.ZG,1979,4.65866581344856
5158,IDA total,IDA,NY.GDP.MKTP.KD.ZG,1979,3.53547564478059
5159,IDA blend,IDB,NY.GDP.MKTP.KD.ZG,1979,5.93438917418601
5160,Indonesia,IDN,NY.GDP.MKTP.KD.ZG,1979,7.14285714285714
5161,IDA only,IDX,NY.GDP.MKTP.KD.ZG,1979,1.15617729129912
5162,Isle of Man,IMN,NY.GDP.MKTP.KD.ZG,1979,
5163,India,IND,NY.GDP.MKTP.KD.ZG,1979,-5.23818270446218
5164,Not classified,INX,NY.GDP.MKTP.KD.ZG,1979,
5165,Ireland,IRL,NY.GDP.MKTP.KD.ZG,1979,3.07303627217861
5166,"Iran, Islamic Rep.",IRN,NY.GDP.MKTP.KD.ZG,1979,-12.020760254792
5167,Iraq,IRQ,NY.GDP.MKTP.KD.ZG,1979,20.8692554333672
5168,Iceland,ISL,NY.GDP.MKTP.KD.ZG,1979,4.86058235616294
5169,Israel,ISR,NY.GDP.MKTP.KD.ZG,1979,6.2078159669927
5170,Italy,ITA,NY.GDP.MKTP.KD.ZG,1979,5.95915942625737
5171,Jamaica,JAM,NY.GDP.MKTP.KD.ZG,1979,-1.06004131730366
5172,Jordan,JOR,NY.GDP.MKTP.KD.ZG,1979,20.8029092711571
5173,Japan,JPN,NY.GDP.MKTP.KD.ZG,1979,5.48404183248661
5174,Kazakhstan,KAZ,NY.GDP.MKTP.KD.ZG,1979,
5175,Kenya,KEN,NY.GDP.MKTP.KD.ZG,1979,7.61522604591983
5176,Kyrgyz Republic,KGZ,NY.GDP.MKTP.KD.ZG,1979,
5177,Cambodia,KHM,NY.GDP.MKTP.KD.ZG,1979,-12.8285637744793
5178,Kiribati,KIR,NY.GDP.MKTP.KD.ZG,1979,-11.5849942255917
5179,St. Kitts and Nevis,KNA,NY.GDP.MKTP.KD.ZG,1979,7.5976750284066
5180,"Korea, Rep.",KOR,NY.GDP.MKTP.KD.ZG,1979,8.67122670709715
5181,Kuwait,KWT,NY.GDP.MKTP.KD.ZG,1979,13.8992104035313
5182,Latin America & Caribbean (excluding high income),LAC,NY.GDP.MKTP.KD.ZG,1979,7.3606730586921
5183,Lao PDR,LAO,NY.GDP.MKTP.KD.ZG,1979,
5184,Lebanon,LBN,NY.GDP.MKTP.KD.ZG,1979,
5185,Liberia,LBR,NY.GDP.MKTP.KD.ZG,1979,3.26481968987513
5186,Libya,LBY,NY.GDP.MKTP.KD.ZG,1979,8.95810997108451
5187,St. Lucia,LCA,NY.GDP.MKTP.KD.ZG,1979,3.79273440393773
5188,Latin America & Caribbean,LCN,NY.GDP.MKTP.KD.ZG,1979,7.39067951521439
5189,Least developed countries: UN classification,LDC,NY.GDP.MKTP.KD.ZG,1979,1.90604274285671
5190,Low income,LIC,NY.GDP.MKTP.KD.ZG,1979,0.402740601155799
5191,Liechtenstein,LIE,NY.GDP.MKTP.KD.ZG,1979,4.75867147850049
5192,Sri Lanka,LKA,NY.GDP.MKTP.KD.ZG,1979,6.40355692590622
5193,Lower middle income,LMC,NY.GDP.MKTP.KD.ZG,1979,1.56367758316991
5194,Low & middle income,LMY,NY.GDP.MKTP.KD.ZG,1979,4.57589415872972
5195,Lesotho,LSO,NY.GDP.MKTP.KD.ZG,1979,2.89391877842753
5196,Late-demographic dividend,LTE,NY.GDP.MKTP.KD.ZG,1979,7.71917367247322
5197,Lithuania,LTU,NY.GDP.MKTP.KD.ZG,1979,
5198,Luxembourg,LUX,NY.GDP.MKTP.KD.ZG,1979,2.34561143311063
5199,Latvia,LVA,NY.GDP.MKTP.KD.ZG,1979,
5200,"Macao SAR, China",MAC,NY.GDP.MKTP.KD.ZG,1979,
5201,St. Martin (French part),MAF,NY.GDP.MKTP.KD.ZG,1979,
5202,Morocco,MAR,NY.GDP.MKTP.KD.ZG,1979,4.79378720509555
5203,Monaco,MCO,NY.GDP.MKTP.KD.ZG,1979,3.53420492941616
5204,Moldova,MDA,NY.GDP.MKTP.KD.ZG,1979,
5205,Madagascar,MDG,NY.GDP.MKTP.KD.ZG,1979,9.85465029443104
5206,Maldives,MDV,NY.GDP.MKTP.KD.ZG,1979,10.6642066329302
5207,Middle East & North Africa,MEA,NY.GDP.MKTP.KD.ZG,1979,5.96600637005038
5208,Mexico,MEX,NY.GDP.MKTP.KD.ZG,1979,9.69817013704164
5209,Marshall Islands,MHL,NY.GDP.MKTP.KD.ZG,1979,2.1353283969927
5210,Middle income,MIC,NY.GDP.MKTP.KD.ZG,1979,4.6820744057578
5211,North Macedonia,MKD,NY.GDP.MKTP.KD.ZG,1979,
5212,Mali,MLI,NY.GDP.MKTP.KD.ZG,1979,10.3956772105957
5213,Malta,MLT,NY.GDP.MKTP.KD.ZG,1979,10.4907731676095
5214,Myanmar,MMR,NY.GDP.MKTP.KD.ZG,1979,5.20127748074113
5215,Middle East & North Africa (excluding high income),MNA,NY.GDP.MKTP.KD.ZG,1979,-0.992941286114899
5216,Montenegro,MNE,NY.GDP.MKTP.KD.ZG,1979,
5217,Mongolia,MNG,NY.GDP.MKTP.KD.ZG,1979,
5218,Northern Mariana Islands,MNP,NY.GDP.MKTP.KD.ZG,1979,
5219,Mozambique,MOZ,NY.GDP.MKTP.KD.ZG,1979,
5220,Mauritania,MRT,NY.GDP.MKTP.KD.ZG,1979,4.79003983768627
5221,Mauritius,MUS,NY.GDP.MKTP.KD.ZG,1979,3.51652574723687
5222,Malawi,MWI,NY.GDP.MKTP.KD.ZG,1979,4.39615373590301
5223,Malaysia,MYS,NY.GDP.MKTP.KD.ZG,1979,9.34909993075928
5224,North America,NAC,NY.GDP.MKTP.KD.ZG,1979,3.21302837073732
5225,Namibia,NAM,NY.GDP.MKTP.KD.ZG,1979,
5226,New Caledonia,NCL,NY.GDP.MKTP.KD.ZG,1979,-13.6000050700344
5227,Niger,NER,NY.GDP.MKTP.KD.ZG,1979,7.14699607024475
5228,Nigeria,NGA,NY.GDP.MKTP.KD.ZG,1979,6.75943093519176
5229,Nicaragua,NIC,NY.GDP.MKTP.KD.ZG,1979,-26.478788867521
5230,Netherlands,NLD,NY.GDP.MKTP.KD.ZG,1979,2.01416612801977
5231,Norway,NOR,NY.GDP.MKTP.KD.ZG,1979,4.37250644905167
5232,Nepal,NPL,NY.GDP.MKTP.KD.ZG,1979,2.36887779532988
5233,Nauru,NRU,NY.GDP.MKTP.KD.ZG,1979,-2.81674712524583
5234,New Zealand,NZL,NY.GDP.MKTP.KD.ZG,1979,2.19162859226809
5235,OECD members,OED,NY.GDP.MKTP.KD.ZG,1979,3.9131817417631
5236,Oman,OMN,NY.GDP.MKTP.KD.ZG,1979,4.33174153986546
5237,Other small states,OSS,NY.GDP.MKTP.KD.ZG,1979,10.7000652738498
5238,Pakistan,PAK,NY.GDP.MKTP.KD.ZG,1979,3.75843556853262
5239,Panama,PAN,NY.GDP.MKTP.KD.ZG,1979,4.51475107985119
5240,Peru,PER,NY.GDP.MKTP.KD.ZG,1979,4.09075057410003
5241,Philippines,PHL,NY.GDP.MKTP.KD.ZG,1979,5.59557107591131
5242,Palau,PLW,NY.GDP.MKTP.KD.ZG,1979,-0.374147140864892
5243,Papua New Guinea,PNG,NY.GDP.MKTP.KD.ZG,1979,1.83239551493573
5244,Poland,POL,NY.GDP.MKTP.KD.ZG,1979,
5245,Pre-demographic dividend,PRE,NY.GDP.MKTP.KD.ZG,1979,5.72991944893025
5246,Puerto Rico,PRI,NY.GDP.MKTP.KD.ZG,1979,7.90682468764641
5247,"Korea, Dem. People's Rep.",PRK,NY.GDP.MKTP.KD.ZG,1979,
5248,Portugal,PRT,NY.GDP.MKTP.KD.ZG,1979,5.63893782270115
5249,Paraguay,PRY,NY.GDP.MKTP.KD.ZG,1979,11.862146971295
5250,West Bank and Gaza,PSE,NY.GDP.MKTP.KD.ZG,1979,
5251,Pacific island small states,PSS,NY.GDP.MKTP.KD.ZG,1979,8.66756510557853
5252,Post-demographic dividend,PST,NY.GDP.MKTP.KD.ZG,1979,3.81166436926468
5253,French Polynesia,PYF,NY.GDP.MKTP.KD.ZG,1979,3.92592417742208
5254,Qatar,QAT,NY.GDP.MKTP.KD.ZG,1979,5.22773573913453
5255,Romania,ROU,NY.GDP.MKTP.KD.ZG,1979,
5256,Russian Federation,RUS,NY.GDP.MKTP.KD.ZG,1979,
5257,Rwanda,RWA,NY.GDP.MKTP.KD.ZG,1979,11.869908038006
5258,South Asia,SAS,NY.GDP.MKTP.KD.ZG,1979,-2.52489449845302
5259,Saudi Arabia,SAU,NY.GDP.MKTP.KD.ZG,1979,11.9193608749781
5260,Sudan,SDN,NY.GDP.MKTP.KD.ZG,1979,-5.01859932953688
5261,Senegal,SEN,NY.GDP.MKTP.KD.ZG,1979,7.00168561322543
5262,Singapore,SGP,NY.GDP.MKTP.KD.ZG,1979,9.55444873972347
5263,Solomon Islands,SLB,NY.GDP.MKTP.KD.ZG,1979,
5264,Sierra Leone,SLE,NY.GDP.MKTP.KD.ZG,1979,4.51126560748069
5265,El Salvador,SLV,NY.GDP.MKTP.KD.ZG,1979,-4.18026543326904
5266,San Marino,SMR,NY.GDP.MKTP.KD.ZG,1979,
5267,Somalia,SOM,NY.GDP.MKTP.KD.ZG,1979,-4.98694875669818
5268,Serbia,SRB,NY.GDP.MKTP.KD.ZG,1979,
5269,Sub-Saharan Africa (excluding high income),SSA,NY.GDP.MKTP.KD.ZG,1979,3.94312392090987
5270,South Sudan,SSD,NY.GDP.MKTP.KD.ZG,1979,
5271,Sub-Saharan Africa,SSF,NY.GDP.MKTP.KD.ZG,1979,3.95252939577652
5272,Small states,SST,NY.GDP.MKTP.KD.ZG,1979,10.2363222551369
5273,Sao Tome and Principe,STP,NY.GDP.MKTP.KD.ZG,1979,16.343158421232
5274,Suriname,SUR,NY.GDP.MKTP.KD.ZG,1979,-0.599999997296081
5275,Slovak Republic,SVK,NY.GDP.MKTP.KD.ZG,1979,
5276,Slovenia,SVN,NY.GDP.MKTP.KD.ZG,1979,
5277,Sweden,SWE,NY.GDP.MKTP.KD.ZG,1979,3.84000347660032
5278,Eswatini,SWZ,NY.GDP.MKTP.KD.ZG,1979,3.10694505124201
5279,Sint Maarten (Dutch part),SXM,NY.GDP.MKTP.KD.ZG,1979,
5280,Seychelles,SYC,NY.GDP.MKTP.KD.ZG,1979,15.7943406201721
5281,Syrian Arab Republic,SYR,NY.GDP.MKTP.KD.ZG,1979,0.887988823235375
5282,Turks and Caicos Islands,TCA,NY.GDP.MKTP.KD.ZG,1979,
5283,Chad,TCD,NY.GDP.MKTP.KD.ZG,1979,-21.4410876889122
5284,East Asia & Pacific (IDA & IBRD countries),TEA,NY.GDP.MKTP.KD.ZG,1979,6.99859896641597
5285,Europe & Central Asia (IDA & IBRD countries),TEC,NY.GDP.MKTP.KD.ZG,1979,
5286,Togo,TGO,NY.GDP.MKTP.KD.ZG,1979,-5.16774264551974
5287,Thailand,THA,NY.GDP.MKTP.KD.ZG,1979,5.37176651254237
5288,Tajikistan,TJK,NY.GDP.MKTP.KD.ZG,1979,
5289,Turkmenistan,TKM,NY.GDP.MKTP.KD.ZG,1979,
5290,Latin America & the Caribbean (IDA & IBRD countries),TLA,NY.GDP.MKTP.KD.ZG,1979,7.45768132617751
5291,Timor-Leste,TLS,NY.GDP.MKTP.KD.ZG,1979,
5292,Middle East & North Africa (IDA & IBRD countries),TMN,NY.GDP.MKTP.KD.ZG,1979,-0.992941286114885
5293,Tonga,TON,NY.GDP.MKTP.KD.ZG,1979,
5294,South Asia (IDA & IBRD),TSA,NY.GDP.MKTP.KD.ZG,1979,-2.52489449845302
5295,Sub-Saharan Africa (IDA & IBRD countries),TSS,NY.GDP.MKTP.KD.ZG,1979,3.95252939577652
5296,Trinidad and Tobago,TTO,NY.GDP.MKTP.KD.ZG,1979,3.59936750975606
5297,Tunisia,TUN,NY.GDP.MKTP.KD.ZG,1979,6.56752117644017
5298,Turkiye,TUR,NY.GDP.MKTP.KD.ZG,1979,-0.624113570222889
5299,Tuvalu,TUV,NY.GDP.MKTP.KD.ZG,1979,-0.396800000000113
5300,Tanzania,TZA,NY.GDP.MKTP.KD.ZG,1979,2.50017391682698
5301,Uganda,UGA,NY.GDP.MKTP.KD.ZG,1979,
5302,Ukraine,UKR,NY.GDP.MKTP.KD.ZG,1979,
5303,Upper middle income,UMC,NY.GDP.MKTP.KD.ZG,1979,5.56586380224491
5304,Uruguay,URY,NY.GDP.MKTP.KD.ZG,1979,6.1991167323612
5305,United States,USA,NY.GDP.MKTP.KD.ZG,1979,3.16598822881279
5306,Uzbekistan,UZB,NY.GDP.MKTP.KD.ZG,1979,
5307,St. Vincent and the Grenadines,VCT,NY.GDP.MKTP.KD.ZG,1979,3.38221693750825
5308,"Venezuela, RB",VEN,NY.GDP.MKTP.KD.ZG,1979,0.76435514542564
5309,British Virgin Islands,VGB,NY.GDP.MKTP.KD.ZG,1979,
5310,Virgin Islands (U.S.),VIR,NY.GDP.MKTP.KD.ZG,1979,
5311,Viet Nam,VNM,NY.GDP.MKTP.KD.ZG,1979,
5312,Vanuatu,VUT,NY.GDP.MKTP.KD.ZG,1979,
5313,World,WLD,NY.GDP.MKTP.KD.ZG,1979,4.18237147076485
5314,Samoa,WSM,NY.GDP.MKTP.KD.ZG,1979,10.909091973568
5315,Kosovo,XKX,NY.GDP.MKTP.KD.ZG,1979,
5316,"Yemen, Rep.",YEM,NY.GDP.MKTP.KD.ZG,1979,
5317,South Africa,ZAF,NY.GDP.MKTP.KD.ZG,1979,3.79051926405782
5318,Zambia,ZMB,NY.GDP.MKTP.KD.ZG,1979,-3.02393103121803
5319,Zimbabwe,ZWE,NY.GDP.MKTP.KD.ZG,1979,3.29703539897524
5320,Aruba,ABW,NY.GDP.MKTP.KD.ZG,1980,
5321,Africa Eastern and Southern,AFE,NY.GDP.MKTP.KD.ZG,1980,5.45735629413792
5322,Afghanistan,AFG,NY.GDP.MKTP.KD.ZG,1980,
5323,Africa Western and Central,AFW,NY.GDP.MKTP.KD.ZG,1980,1.91857634706398
5324,Angola,AGO,NY.GDP.MKTP.KD.ZG,1980,
5325,Albania,ALB,NY.GDP.MKTP.KD.ZG,1980,
5326,Andorra,AND,NY.GDP.MKTP.KD.ZG,1980,2.20872761127492
5327,Arab World,ARB,NY.GDP.MKTP.KD.ZG,1980,6.24032235710182
5328,United Arab Emirates,ARE,NY.GDP.MKTP.KD.ZG,1980,23.8747749104978
5329,Argentina,ARG,NY.GDP.MKTP.KD.ZG,1980,1.51878394990179
5330,Armenia,ARM,NY.GDP.MKTP.KD.ZG,1980,
5331,American Samoa,ASM,NY.GDP.MKTP.KD.ZG,1980,
5332,Antigua and Barbuda,ATG,NY.GDP.MKTP.KD.ZG,1980,8.16100999614888
5333,Australia,AUS,NY.GDP.MKTP.KD.ZG,1980,3.03569765637125
5334,Austria,AUT,NY.GDP.MKTP.KD.ZG,1980,1.73148559549917
5335,Azerbaijan,AZE,NY.GDP.MKTP.KD.ZG,1980,
5336,Burundi,BDI,NY.GDP.MKTP.KD.ZG,1980,0.991055725106477
5337,Belgium,BEL,NY.GDP.MKTP.KD.ZG,1980,4.44405387639348
5338,Benin,BEN,NY.GDP.MKTP.KD.ZG,1980,6.78176386785228
5339,Burkina Faso,BFA,NY.GDP.MKTP.KD.ZG,1980,0.796878878579221
5340,Bangladesh,BGD,NY.GDP.MKTP.KD.ZG,1980,0.819141868898924
5341,Bulgaria,BGR,NY.GDP.MKTP.KD.ZG,1980,
5342,Bahrain,BHR,NY.GDP.MKTP.KD.ZG,1980,2.58027928362404
5343,"Bahamas, The",BHS,NY.GDP.MKTP.KD.ZG,1980,6.49528192102287
5344,Bosnia and Herzegovina,BIH,NY.GDP.MKTP.KD.ZG,1980,
5345,Belarus,BLR,NY.GDP.MKTP.KD.ZG,1980,
5346,Belize,BLZ,NY.GDP.MKTP.KD.ZG,1980,13.4366817639712
5347,Bermuda,BMU,NY.GDP.MKTP.KD.ZG,1980,7.94392523272795
5348,Bolivia,BOL,NY.GDP.MKTP.KD.ZG,1980,-1.37177291054002
5349,Brazil,BRA,NY.GDP.MKTP.KD.ZG,1980,9.19999999999976
5350,Barbados,BRB,NY.GDP.MKTP.KD.ZG,1980,4.37306481383659
5351,Brunei Darussalam,BRN,NY.GDP.MKTP.KD.ZG,1980,-6.99670298402471
5352,Bhutan,BTN,NY.GDP.MKTP.KD.ZG,1980,5.00873616580616
5353,Botswana,BWA,NY.GDP.MKTP.KD.ZG,1980,11.9869013857775
5354,Central African Republic,CAF,NY.GDP.MKTP.KD.ZG,1980,-4.47863884794948
5355,Canada,CAN,NY.GDP.MKTP.KD.ZG,1980,2.17719916021221
5356,Central Europe and the Baltics,CEB,NY.GDP.MKTP.KD.ZG,1980,
5357,Switzerland,CHE,NY.GDP.MKTP.KD.ZG,1980,4.6019773638462
5358,Channel Islands,CHI,NY.GDP.MKTP.KD.ZG,1980,
5359,Chile,CHL,NY.GDP.MKTP.KD.ZG,1980,7.986620757061
5360,China,CHN,NY.GDP.MKTP.KD.ZG,1980,7.83414501593811
5361,Cote d'Ivoire,CIV,NY.GDP.MKTP.KD.ZG,1980,-10.9576972637217
5362,Cameroon,CMR,NY.GDP.MKTP.KD.ZG,1980,-1.9652916680455
5363,"Congo, Dem. Rep.",COD,NY.GDP.MKTP.KD.ZG,1980,2.19491292367728
5364,"Congo, Rep.",COG,NY.GDP.MKTP.KD.ZG,1980,17.6366054827611
5365,Colombia,COL,NY.GDP.MKTP.KD.ZG,1980,4.08735367550767
5366,Comoros,COM,NY.GDP.MKTP.KD.ZG,1980,
5367,Cabo Verde,CPV,NY.GDP.MKTP.KD.ZG,1980,
5368,Costa Rica,CRI,NY.GDP.MKTP.KD.ZG,1980,0.751895403326316
5369,Caribbean small states,CSS,NY.GDP.MKTP.KD.ZG,1980,2.61217412023439
5370,Cuba,CUB,NY.GDP.MKTP.KD.ZG,1980,-4.84944295088555
5371,Curacao,CUW,NY.GDP.MKTP.KD.ZG,1980,
5372,Cayman Islands,CYM,NY.GDP.MKTP.KD.ZG,1980,
5373,Cyprus,CYP,NY.GDP.MKTP.KD.ZG,1980,5.75324470168211
5374,Czechia,CZE,NY.GDP.MKTP.KD.ZG,1980,
5375,Germany,DEU,NY.GDP.MKTP.KD.ZG,1980,1.40882863572145
5376,Djibouti,DJI,NY.GDP.MKTP.KD.ZG,1980,
5377,Dominica,DMA,NY.GDP.MKTP.KD.ZG,1980,13.3831822716046
5378,Denmark,DNK,NY.GDP.MKTP.KD.ZG,1980,-0.482986336653326
5379,Dominican Republic,DOM,NY.GDP.MKTP.KD.ZG,1980,7.968738507442
5380,Algeria,DZA,NY.GDP.MKTP.KD.ZG,1980,0.790606971851631
5381,East Asia & Pacific (excluding high income),EAP,NY.GDP.MKTP.KD.ZG,1980,7.49858087619847
5382,Early-demographic dividend,EAR,NY.GDP.MKTP.KD.ZG,1980,3.39985630542736
5383,East Asia & Pacific,EAS,NY.GDP.MKTP.KD.ZG,1980,3.77865904192677
5384,Europe & Central Asia (excluding high income),ECA,NY.GDP.MKTP.KD.ZG,1980,
5385,Europe & Central Asia,ECS,NY.GDP.MKTP.KD.ZG,1980,1.47884874785078
5386,Ecuador,ECU,NY.GDP.MKTP.KD.ZG,1980,3.70868296886211
5387,"Egypt, Arab Rep.",EGY,NY.GDP.MKTP.KD.ZG,1980,10.0113290379584
5388,Euro area,EMU,NY.GDP.MKTP.KD.ZG,1980,2.15931354865691
5389,Eritrea,ERI,NY.GDP.MKTP.KD.ZG,1980,
5390,Spain,ESP,NY.GDP.MKTP.KD.ZG,1980,2.20872810729247
5391,Estonia,EST,NY.GDP.MKTP.KD.ZG,1980,
5392,Ethiopia,ETH,NY.GDP.MKTP.KD.ZG,1980,6.42416616437001
5393,European Union,EUU,NY.GDP.MKTP.KD.ZG,1980,2.05238635660675
5394,Fragile and conflict affected situations,FCS,NY.GDP.MKTP.KD.ZG,1980,5.29588845197981
5395,Finland,FIN,NY.GDP.MKTP.KD.ZG,1980,5.38904788022778
5396,Fiji,FJI,NY.GDP.MKTP.KD.ZG,1980,-1.60345693517291
5397,France,FRA,NY.GDP.MKTP.KD.ZG,1980,1.57874525990584
5398,Faroe Islands,FRO,NY.GDP.MKTP.KD.ZG,1980,
5399,"Micronesia, Fed. Sts.",FSM,NY.GDP.MKTP.KD.ZG,1980,-7.19641160823168
5400,Gabon,GAB,NY.GDP.MKTP.KD.ZG,1980,2.55293715765217
5401,United Kingdom,GBR,NY.GDP.MKTP.KD.ZG,1980,-2.03136782004715
5402,Georgia,GEO,NY.GDP.MKTP.KD.ZG,1980,4.57644696484918
5403,Ghana,GHA,NY.GDP.MKTP.KD.ZG,1980,0.471695943172108
5404,Gibraltar,GIB,NY.GDP.MKTP.KD.ZG,1980,
5405,Guinea,GIN,NY.GDP.MKTP.KD.ZG,1980,2.60138796577259
5406,"Gambia, The",GMB,NY.GDP.MKTP.KD.ZG,1980,6.27007960556354
5407,Guinea-Bissau,GNB,NY.GDP.MKTP.KD.ZG,1980,-15.9526514985296
5408,Equatorial Guinea,GNQ,NY.GDP.MKTP.KD.ZG,1980,
5409,Greece,GRC,NY.GDP.MKTP.KD.ZG,1980,0.677131486677212
5410,Grenada,GRD,NY.GDP.MKTP.KD.ZG,1980,-0.534784048047442
5411,Greenland,GRL,NY.GDP.MKTP.KD.ZG,1980,8.67600626732286
5412,Guatemala,GTM,NY.GDP.MKTP.KD.ZG,1980,3.75997816033124
5413,Guam,GUM,NY.GDP.MKTP.KD.ZG,1980,
5414,Guyana,GUY,NY.GDP.MKTP.KD.ZG,1980,1.73388972721931
5415,High income,HIC,NY.GDP.MKTP.KD.ZG,1980,1.29333095298736
5416,"Hong Kong SAR, China",HKG,NY.GDP.MKTP.KD.ZG,1980,10.108277333546
5417,Honduras,HND,NY.GDP.MKTP.KD.ZG,1980,0.599354052523609
5418,Heavily indebted poor countries (HIPC),HPC,NY.GDP.MKTP.KD.ZG,1980,0.621976221360754
5419,Croatia,HRV,NY.GDP.MKTP.KD.ZG,1980,
5420,Haiti,HTI,NY.GDP.MKTP.KD.ZG,1980,7.37468791939079
5421,Hungary,HUN,NY.GDP.MKTP.KD.ZG,1980,0.200000000000671
5422,IBRD only,IBD,NY.GDP.MKTP.KD.ZG,1980,5.06209918103771
5423,IDA & IBRD total,IBT,NY.GDP.MKTP.KD.ZG,1980,4.8775648715703
5424,IDA total,IDA,NY.GDP.MKTP.KD.ZG,1980,3.56313475473881
5425,IDA blend,IDB,NY.GDP.MKTP.KD.ZG,1980,5.61059830743254
5426,Indonesia,IDN,NY.GDP.MKTP.KD.ZG,1980,10.0
5427,IDA only,IDX,NY.GDP.MKTP.KD.ZG,1980,1.43928063602026
5428,Isle of Man,IMN,NY.GDP.MKTP.KD.ZG,1980,
5429,India,IND,NY.GDP.MKTP.KD.ZG,1980,6.7358215288198
5430,Not classified,INX,NY.GDP.MKTP.KD.ZG,1980,
5431,Ireland,IRL,NY.GDP.MKTP.KD.ZG,1980,3.07932906492998
5432,"Iran, Islamic Rep.",IRN,NY.GDP.MKTP.KD.ZG,1980,-21.5996493516923
5433,Iraq,IRQ,NY.GDP.MKTP.KD.ZG,1980,24.7537268454301
5434,Iceland,ISL,NY.GDP.MKTP.KD.ZG,1980,5.74792071441759
5435,Israel,ISR,NY.GDP.MKTP.KD.ZG,1980,1.67044156640739
5436,Italy,ITA,NY.GDP.MKTP.KD.ZG,1980,3.4300164144226
5437,Jamaica,JAM,NY.GDP.MKTP.KD.ZG,1980,-5.71415924592715
5438,Jordan,JOR,NY.GDP.MKTP.KD.ZG,1980,11.1848464643197
